step,epoch,delay_ms,path_type,switched,delta_delay_ms
158,2025-12-05 06:26:20.000,19.82174301147461,sat,0,
159,2025-12-05 06:26:30.000,19.655202865600586,sat,0,
160,2025-12-05 06:26:40.000,19.488577842712402,sat,0,
161,2025-12-05 06:26:50.000,19.32193946838379,sat,0,
162,2025-12-05 06:27:00.000,19.15535831451416,sat,0,
163,2025-12-05 06:27:10.000,18.988910675048828,sat,0,
164,2025-12-05 06:27:20.000,18.822673797607422,sat,0,
165,2025-12-05 06:27:30.000,18.656726837158203,sat,0,
166,2025-12-05 06:27:40.000,18.491147994995117,sat,0,
167,2025-12-05 06:27:50.000,18.326022148132324,sat,0,
168,2025-12-05 06:28:00.000,18.1614351272583,sat,0,
169,2025-12-05 06:28:10.000,17.997471809387207,sat,0,
170,2025-12-05 06:28:20.000,17.834223747253418,sat,0,
171,2025-12-05 06:28:30.000,13.45601511001587,sat,1,-4.378208637237549
172,2025-12-05 06:28:40.000,13.38382863998413,sat,1,-0.07218647003173828
173,2025-12-05 06:28:50.000,13.355686664581299,sat,0,
174,2025-12-05 06:29:00.000,24.052454948425293,sat,1,10.696768283843994
175,2025-12-05 06:29:10.000,23.91196346282959,sat,0,
176,2025-12-05 06:29:20.000,23.770200729370117,sat,0,
177,2025-12-05 06:29:30.000,23.62720775604248,sat,0,
178,2025-12-05 06:29:40.000,23.4830265045166,sat,0,
179,2025-12-05 06:29:50.000,23.33769989013672,sat,0,
180,2025-12-05 06:30:00.000,23.191271781921387,sat,0,
181,2025-12-05 06:30:10.000,23.043787002563477,sat,0,
182,2025-12-05 06:30:20.000,22.895292282104492,sat,0,
183,2025-12-05 06:30:30.000,22.745832443237305,sat,0,
184,2025-12-05 06:30:40.000,22.595458984375,sat,0,
185,2025-12-05 06:30:50.000,22.444220542907715,sat,0,
186,2025-12-05 06:31:00.000,22.292166709899902,sat,0,
187,2025-12-05 06:31:10.000,22.139349937438965,sat,0,
188,2025-12-05 06:31:20.000,21.985824584960938,sat,0,
189,2025-12-05 06:31:30.000,21.831643104553223,sat,0,
190,2025-12-05 06:31:40.000,21.67686367034912,sat,0,
191,2025-12-05 06:31:50.000,21.521541595458984,sat,0,
192,2025-12-05 06:32:00.000,21.36573600769043,sat,0,
193,2025-12-05 06:32:10.000,21.209507942199707,sat,0,
194,2025-12-05 06:32:20.000,21.05291748046875,sat,0,
195,2025-12-05 06:32:30.000,20.896028518676758,sat,0,
196,2025-12-05 06:32:40.000,20.738906860351562,sat,1,-0.1571216583251953
197,2025-12-05 06:32:50.000,20.58161449432373,sat,0,
198,2025-12-05 06:33:00.000,20.424222946166992,sat,0,
199,2025-12-05 06:33:10.000,20.266799926757812,sat,0,
200,2025-12-05 06:33:20.000,20.109414100646973,sat,0,
201,2025-12-05 06:33:30.000,19.9521427154541,sat,0,
202,2025-12-05 06:33:40.000,21.283187866210938,sat,1,1.331045150756836
203,2025-12-05 06:33:50.000,21.27450656890869,sat,0,
204,2025-12-05 06:34:00.000,21.28365135192871,sat,0,
205,2025-12-05 06:34:10.000,21.146509170532227,sat,1,-0.13714218139648438
206,2025-12-05 06:34:20.000,20.983128547668457,sat,0,
207,2025-12-05 06:34:30.000,20.81917381286621,sat,0,
208,2025-12-05 06:34:40.000,20.654701232910156,sat,0,
209,2025-12-05 06:34:50.000,20.489770889282227,sat,0,
210,2025-12-05 06:35:00.000,20.324443817138672,sat,0,
211,2025-12-05 06:35:10.000,20.158784866333008,sat,0,
212,2025-12-05 06:35:20.000,19.9928560256958,sat,0,
213,2025-12-05 06:35:30.000,19.826725959777832,sat,0,
214,2025-12-05 06:35:40.000,19.660460472106934,sat,0,
215,2025-12-05 06:35:50.000,19.49413299560547,sat,0,
216,2025-12-05 06:36:00.000,19.327811241149902,sat,0,
217,2025-12-05 06:36:10.000,19.161568641662598,sat,0,
218,2025-12-05 06:36:20.000,18.995484352111816,sat,0,
219,2025-12-05 06:36:30.000,18.82963275909424,sat,0,
220,2025-12-05 06:36:40.000,18.66409206390381,sat,0,
221,2025-12-05 06:36:50.000,18.49894618988037,sat,0,
222,2025-12-05 06:37:00.000,18.334277153015137,sat,0,
223,2025-12-05 06:37:10.000,18.170169830322266,sat,0,
224,2025-12-05 06:37:20.000,18.0067138671875,sat,0,
225,2025-12-05 06:37:30.000,17.84399700164795,sat,0,
226,2025-12-05 06:37:40.000,13.44713306427002,sat,1,-4.39686393737793
227,2025-12-05 06:37:50.000,13.38545274734497,sat,0,
228,2025-12-05 06:38:00.000,13.367727279663086,sat,0,
229,2025-12-05 06:38:10.000,13.392316818237305,sat,0,
230,2025-12-05 06:38:20.000,23.861783027648926,sat,1,10.469466209411621
231,2025-12-05 06:38:30.000,23.719615936279297,sat,0,
232,2025-12-05 06:38:40.000,23.576223373413086,sat,0,
233,2025-12-05 06:38:50.000,23.431649208068848,sat,0,
234,2025-12-05 06:39:00.000,23.285935401916504,sat,0,
235,2025-12-05 06:39:10.000,23.139124870300293,sat,0,
236,2025-12-05 06:39:20.000,22.99126625061035,sat,0,
237,2025-12-05 06:39:30.000,22.842402458190918,sat,0,
238,2025-12-05 06:39:40.000,22.69258213043213,sat,0,
239,2025-12-05 06:39:50.000,22.541854858398438,sat,0,
240,2025-12-05 06:40:00.000,22.390268325805664,sat,0,
241,2025-12-05 06:40:10.000,22.237875938415527,sat,0,
242,2025-12-05 06:40:20.000,22.08472728729248,sat,0,
243,2025-12-05 06:40:30.000,21.93087673187256,sat,0,
244,2025-12-05 06:40:40.000,21.77638053894043,sat,0,
245,2025-12-05 06:40:50.000,21.621294021606445,sat,0,
246,2025-12-05 06:41:00.000,21.465672492980957,sat,0,
247,2025-12-05 06:41:10.000,21.309578895568848,sat,0,
248,2025-12-05 06:41:20.000,21.1530704498291,sat,0,
249,2025-12-05 06:41:30.000,20.996211051940918,sat,0,
250,2025-12-05 06:41:40.000,20.839061737060547,sat,0,
251,2025-12-05 06:41:50.000,20.681689262390137,sat,1,-0.15737247467041016
252,2025-12-05 06:42:00.000,20.524158477783203,sat,0,
253,2025-12-05 06:42:10.000,20.366539001464844,sat,0,
254,2025-12-05 06:42:20.000,20.20889949798584,sat,0,
255,2025-12-05 06:42:30.000,20.051311492919922,sat,0,
256,2025-12-05 06:42:40.000,19.89384651184082,sat,0,
257,2025-12-05 06:42:50.000,21.285924911499023,sat,1,1.3920783996582031
258,2025-12-05 06:43:00.000,21.281217575073242,sat,0,
259,2025-12-05 06:43:10.000,21.294203758239746,sat,0,
260,2025-12-05 06:43:20.000,21.16126823425293,sat,1,-0.1329355239868164
261,2025-12-05 06:43:30.000,20.997833251953125,sat,0,
262,2025-12-05 06:43:40.000,20.83383560180664,sat,0,
263,2025-12-05 06:43:50.000,20.669331550598145,sat,0,
264,2025-12-05 06:44:00.000,20.50438404083252,sat,0,
265,2025-12-05 06:44:10.000,20.3390531539917,sat,0,
